handle,platform,followers,engagement_rate,location,niche,partnerships,source,source_date
AkashKRavi,youtube,98100,,Global - pending verification,video / motion design tutorials,AI video editor and motion tool fit,Feedspot video editing YouTube list,2026-08
Joshyy,youtube,95500,,Global - pending verification,creator education / video content,AI creator tool fit,Feedspot video editing YouTube list,2026-08
Meredith Marsh,youtube,93100,,Global - pending verification,GoPro / video creation tutorials,AI video workflow tool fit,Feedspot video editing YouTube list,2026-08
James Briggs,youtube,81200,,Global - pending verification,AI tools / ML engineering,AI video API and developer tool fit,Feedspot AI YouTube list,2026-08
Patrick Stirling,youtube,79800,,Global - pending verification,DaVinci Resolve plugins / templates,AI video post-production tool fit,Feedspot video editing YouTube list,2026-08
Rafael Ludwig,youtube,65300,,Global - pending verification,Final Cut Pro / post-production,AI editing tool fit,Feedspot video editing YouTube list,2026-08
AI Joe: Artificial Intelligence for everyone.,youtube,49300,,Global - pending verification,AI business / productivity tools,AI video SaaS sponsor fit,Feedspot AI YouTube list,2026-08
George Kamenov,youtube,33900,,Global - pending verification,filmmaking / photography / video editing,AI video creation tool fit,Feedspot video editing YouTube list,2026-08
Alex Cameron - Depiqd,youtube,19100,,Global - pending verification,film production / DaVinci Resolve,AI video editor fit,Feedspot video editing YouTube list,2026-08
Micah,youtube,15200,,Global - pending verification,AI tools / ChatGPT / no-code tutorials,AI video generator demo fit,Feedspot AI YouTube list,2026-08
