handle,platform,followers,engagement_rate,location,niche,partnerships,source,source_date
James Briggs,youtube,81200,,Global - pending verification,ML engineering / AI tools / instruction,AI tool tutorial fit,Feedspot AI YouTube list,2026-08
What's AI by Louis-Francois Bouchard,youtube,72700,,Global - pending verification,AI news / explainers,AI software sponsor fit,Feedspot AI YouTube list,2026-08
Aleksa Gordic - The AI Epiphany,youtube,64400,,Global - pending verification,AI research / code,developer AI tool fit,Feedspot AI YouTube list,2026-08
AI Coffee Break with Letitia,youtube,64100,,Global - pending verification,bite-sized ML education,AI learning product fit,Feedspot AI YouTube list,2026-08
Rithesh Sreenivasan,youtube,50200,,Global - pending verification,AI / data science tutorials / use cases,AI SaaS tutorial fit,Feedspot AI YouTube list,2026-08
AI Joe: Artificial Intelligence for everyone.,youtube,49300,,Global - pending verification,AI for business / productivity,AI SaaS sponsor fit,Feedspot AI YouTube list,2026-08
Coding Lane,youtube,49000,,Global - pending verification,ML applications / projects,AI developer tool fit,Feedspot Machine Learning YouTube list,2026-08
Connor Shorten,youtube,45000,,Global - pending verification,deep learning / AI paper summaries,AI tool sponsor fit,Feedspot AI YouTube list,2026-08
Nachiketa Hebbar,youtube,19100,,Global - pending verification,AI / ML tutorials,AI learning product fit,Feedspot AI YouTube list,2026-08
Micah,youtube,15200,,Global - pending verification,AI tools / ChatGPT / no-code tutorials,AI tool demo fit,Feedspot AI YouTube list,2026-08
