handle,platform,followers,engagement_rate,location,niche,partnerships,source,source_date
@chwroeparsnips,tiktok,999200,15.7,United States,beauty / makeup,,infludata US beauty ranking,2026-08
@_itgirlbri,tiktok,642300,10.48,United States,beauty / lifestyle,,infludata US beauty ranking,2026-08
@chelseagabriellee,tiktok,951700,8.49,"Los Angeles, United States",beauty / lifestyle,,infludata US beauty ranking,2026-08
@poeticnini_officially,tiktok,495800,7.76,United States,beauty,,infludata US beauty ranking,2026-08
@immastealyoursol,tiktok,603200,3.75,United States,beauty / fashion,,infludata US beauty ranking,2026-08
@thedavisstandard,tiktok,187300,2.8,"New York, United States",beauty / anti-aging,,infludata US beauty ranking,2026-08
@awuoimatiop0,tiktok,824900,,United States - pending verification,beauty,,Feedspot beauty TikTok list,2026-08
@mangomoniica,tiktok,750800,,United States - pending verification,beauty,,Feedspot beauty TikTok list,2026-08
@beautybyjanae,tiktok,667700,,United States - pending verification,beauty / makeup,,Feedspot beauty TikTok list,2026-08
@theglownarrative,tiktok,517800,,United States - pending verification,beauty / skincare,,Feedspot beauty TikTok list,2026-08
@byvictoriabarrientos,tiktok,487900,,United States - pending verification,beauty / makeup,,Feedspot beauty TikTok list,2026-08
@themichellephan,tiktok,434900,,United States - pending verification,beauty / makeup,,Feedspot beauty TikTok list,2026-08
@dajjrambo,tiktok,426200,,United States - pending verification,beauty / makeup,,Feedspot beauty TikTok list,2026-08
@xoxodoseofjos,tiktok,406800,,United States - pending verification,beauty / makeup,,Feedspot beauty TikTok list,2026-08
@adrianamejiamakeup,tiktok,384700,,United States - pending verification,beauty / makeup,,Feedspot beauty TikTok list,2026-08
@jazlmao,tiktok,304400,,United States - pending verification,beauty / makeup,,Feedspot beauty TikTok list,2026-08
@morganturnermakeup,tiktok,293800,,United States - pending verification,beauty / makeup,,Feedspot beauty TikTok list,2026-08
@hydrationceo,tiktok,278400,,United States - pending verification,beauty / skincare,,Feedspot beauty TikTok list,2026-08
@luisalejandrobeauty,tiktok,248200,,United States - pending verification,beauty / makeup,,Feedspot beauty TikTok list,2026-08
@alexandra_anele,tiktok,222300,,United States - pending verification,beauty / makeup,,Feedspot beauty TikTok list,2026-08
