handle,platform,followers,engagement_rate,location,niche,partnerships,source,source_date
Christy Mel,youtube,90300,,United States - pending verification,home decor / DIY,,Feedspot home decor YouTube list,2026-08
NeesieDoesIT,youtube,90100,,United States - pending verification,DIY home decor / room transformations,,Feedspot home decor YouTube list,2026-08
TheUnfrumpyMommyLife,youtube,68600,,"Atlanta, United States",home decor / lifestyle,,Feedspot home decor YouTube list,2026-08
The Glamorous Penny Pincher,youtube,67100,,United States - pending verification,budget home decor,,Feedspot home decor YouTube list,2026-08
Kimberly Davis A Blessed Home,youtube,35600,,United States - pending verification,home decor / entertaining / gardening,,Feedspot home decor YouTube list,2026-08
MyHouseMyHome,youtube,25100,,United States - pending verification,home renovation / decorating,,Feedspot home decor YouTube list,2026-08
Juani's House,youtube,24200,,United States - pending verification,interior decor / DIY / entertaining,,Feedspot home decor YouTube list,2026-08
Modern Living with Bre,youtube,19900,,United States - pending verification,modern decor / organizing / budget DIY,,Feedspot home decor YouTube list,2026-08
Hire it Done,youtube,17500,,United States - pending verification,home improvement / renovation,,Feedspot home improvement YouTube list,2026-08
Inspirations of Style (Melissa Emily),youtube,14700,,United States - pending verification,home decor / style,,Feedspot home decor YouTube list,2026-08
